titulo,data,conteudo
Pesquisa de Fevereiro de 2008 apresenta queda em 19 tipos de crimes no Rio de Janeiro,"Renata Fortes, Carolina Boechat e Débora Agualuza15/05/2008 13:23h","
O Instituto de Segurança Pública (ISP) divulga o balanço total dos índices de criminalidade referentes ao mês de fevereiro de 2008.
A equipe do ISP através do Núcleo de Pesquisa em Justiça Criminal e Segurança Pública – NUPESP, concluiu a análise dos crimes. Dos 39 itens publicados no Diário Oficial, 6 são atividades policiais; logo, o levantamento corresponde a 33 delitos analisados. Deste total, 19 tipos de ocorrências apresentaram queda, 7 sofreram aumento, e outros 4 mantiveram a mesma incidência se comparados à pesquisa divulgada no mês de janeiro de 2007.
Os delitos que merecem atenção em razão da maior ou menor incidência são: 

Estupro: 97 ocorrências em Fevereiro de 2008 e 92 casos em Fevereiro 2007. Este delito apresentou aumento de 5,4% (mais 5 vítimas) em relação a fevereiro de 2007. Em comparação ao mês de janeiro, houve redução de 5,8% (menos 6 vítimas). 
Atentado Violento ao Pudor: 160 ocorrências em Fevereiro de 2008 e 136 casos em Fevereiro 2007. Este delito apresentou aumento de 17,6% (mais 24 vítimas), em relação a fevereiro de 2007. Em comparação ao mês de janeiro, houve aumento de 3,9% (mais 6 vítimas). 
Roubo a Residência: 121 ocorrências em Fevereiro de 2008 e 121 casos em Fevereiro 2007. Este delito apresentou a mesma incidência com variações mínimas em relação a fevereiro de 2007. Em comparação ao mês de janeiro, houve aumento de 1,7% (mais 2 casos). 
Roubo de Veículos: 2.416 ocorrências em Fevereiro de 2008 e 2.597 casos em Fevereiro 2007. Este delito apresentou redução de 7,0% (menos 181 casos) em relação a fevereiro de 2007. Em comparação ao mês de janeiro, houve redução de 4,1% (menos 104 casos). 
Roubo a Transeunte: 5.483 ocorrências em Fevereiro de 2008 e 4.201 casos em Fevereiro 2007. Este delito apresentou aumento de 30,5% (mais 1.282casos) em relação a fevereiro de 2007. Em comparação ao mês de janeiro, houve redução de 3,0% (menos 168 casos). 
Roubo de Aparelho Celular: 680 ocorrências em Fevereiro de 2008 e 537 casos em Fevereiro 2007. Este delito apresentou aumento de 26,6% (mais 143 casos) em relação a fevereiro de 2007. Em comparação ao mês de janeiro, houve redução de 0,6% (menos 4 casos). 
Furto de Veículo: 1.757 ocorrências em Fevereiro de 2008 e 1.863 casos em Fevereiro 2007. Este delito apresentou redução de 5,7% (menos 106 casos) em relação a fevereiro de 2007.  Em comparação ao mês de janeiro, houve uma redução de 3,2% (menos 58 casos). 
Roubo a Banco: 1 ocorrência em Fevereiro de 2008 e 1 ocorrência em Fevereiro 2008. Este delito apresentou a mesma incidência em relação a fevereiro de 2007. Em comparação ao mês de janeiro, houve redução (menos 3 casos). 
Lesão Corporal Dolosa: 6.012 ocorrências em Fevereiro de 2008 e 6.345 casos em Fevereiro 2007. Este delito apresentou redução de 5,2% (menos 333 vítimas) em relação a fevereiro de 2007.  Em comparação ao mês de janeiro, houve uma redução de 3,9% (menos 244 vítimas). 
Homicídio Doloso: 505 ocorrências em Fevereiro de 2008 e 486 casos em Fevereiro 2007. Este delito apresentou aumento de 3,9% (mais 19 vítimas) em relação a fevereiro de 2007.  Em comparação ao mês de janeiro, houve uma redução de 6,1% (menos 33 vítimas).
Para mais informações clique aqui. 
 
Atenção: A Resolução SESEG de nº 125 de 02.04.2008, reorganizou as Áreas de Policiamento da PMERJ e as Áreas Integradas de Segurança Pública (AISP), fazendo com que as delegacias 111ª DP (Sumidouro) e 112ª DP (Carmo) passem da AISP 11 para AISP 30. 
 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
"Instituto de Segurança Pública participa do Café Comunitário do 26º BPM, em Petrópolis (com áudio)",Renata Fortes e Débora Agualuza15/05/2008 16:31h,"




Foto: Débora Agualuza
Hotel Quitandinha 
Cumprindo mais uma agenda de trabalho, o diretor-presidente do Instituto de Segurança Pública (ISP), Ten Cel PM Mário Sérgio de Brito Duarte, compareceu na manhã de quarta-feira, 14.05, juntamente com o Gerente dos Conselhos Comunitários de Segurança (CCS), Marcus Veloso, na cidade de Petrópolis para participar do Café Comunitário.
O evento aconteceu no tradicional Hotel Quitandinha com o objetivo de viabilizar a implantação do Conselho Comunitário de Segurança no Município. De acordo com o gerente dos Conselhos, Marcus Veloso, a participação da sociedade informando as demandas da região para os gestores de segurança pública é de fundamental importância para que um estado democrático de direito se estabeleça e possa adequar a cada caso específico as devidas soluções.




Foto: Débora Agualuza
Marcus Veloso, Ten Cel PM Mário Sérgio, Cel PM Luiz Cláudio Calixto Barbosa e Dr. Antônio Carlos de Almeida Rocha (106 DP) 
O Comandante do 26º Batalhão de Polícia Militar, Cel PM Luiz Cláudio Calixto Barbosa, traçou um panorama sobre a segurança da cidade. Ele frisou que Petrópolis possui baixos índices de criminalidade, ocupando a 5ª posição entre as cidades mais tranqüilas do Estado, o que não afasta a importância de haver a participação da população através do Conselho Comunitário. 




Foto: Débora Agualuza
Participantes do Conselho Comunitário de Segurança em Petrópolis 
Durante o evento, o Presidente do ISP Ten Cel PM Mário Sérgio deixou claro que a implantação do CCS em Petrópolis não inviabiliza o Conselho Municipal de Segurança, a idéia é que ambos os conselhos somem forças em busca de soluções para a questão da Segurança local. 
[Áudio – Presidente do ISP - Mário Sérgio de Brito Duarte]




Foto: Débora Agualuza
Ten Cel PM Mário Sérgio de Brito Duarte 
Além dos representantes do ISP, participaram da reunião diversas personalidades políticas de Petrópolis, autoridades relacionadas à Segurança Pública, como o delegado da 106ª Delegacia legal de Petrópolis, Dr. Antonio Carlos de Almeida Rocha e lideranças comunitárias.
 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
ISP realiza aula inaugural da 1ª turma do Curso Básico de Técnicas Quantitativas Aplicadas à Segurança Pública,Renata Fortes e Débora Agualuza15/05/2008 17:22h,"




Foto: Débora Agualuza
Diretor do ISP - Ten Cel PM Mário Sérgio de Brito Duarte e o Mestre Renato Dirk na aula inaugural
O Instituto de Segurança Pública (ISP) está promovendo o Curso Básico de Técnicas Quantitativas Aplicadas à Segurança Pública, para capacitação em análise de dados. A aula inaugural, que aconteceu na manhã desta quinta-feira, 15 de maio de 2008, abordou a logística de apuração dos números sobre criminalidade e fatos administrativos do Estado do Rio de Janeiro.
O presidente do ISP, Ten Cel PM Mário Sérgio de Brito Duarte, disse que é uma grande satisfação promover e participar, como aluno, do curso que visa aprimorar os conhecimentos na construção e análises que servem de subsídio para o desenvolvimento de trabalhos posteriores. 
O curso tem duração de 1 mês e disponibiliza 13 vagas distribuídas para funcionários do ISP, jornalistas, policiais civis e militares. Em menos de 10 dias de divulgação já estão fechados os primeiros grupos. As inscrições para as novas turmas devem ser feitas através do site e as confirmações das vagas serão feitas pelo Instituto de Segurança Pública.   




Foto: Débora Agualuza
Primeira turma do Curso Básico de Técnicas Quantitativas Aplicadas à Segurança Pública 
Os módulos são ministrados por Renato Coelho Dirk, Gerente de Banco de Dados do ISP e Mestre em Estudos Populacionais e Pesquisa Social da Escola Nacional de Ciências Estatísticas (ENCE/ IBGE).
Dividido em três partes, o curso apresentará na primeira etapa as técnicas quantitativas básicas. Na segunda, os alunos serão apresentados ao programa Excel, e na terceira e última parte, será ministrado o módulo básico do software SPSS (ferramenta para análise de estatística). Ao final do curso será entregue um certificado de conclusão, somente para aqueles que tiverem 100% de freqüência. 
 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
Reunião indica 1ª Diretoria do Conselho Comunitário de Búzios,Renata Fortes e Carolina Boechat21/05/2008 16:52h,"




Foto: Divulgação/ISP
Reunião dos Representantes do Conselho Comunitário de Búzios 
Autoridades e representantes comunitários de Armação de Búzios, na Região dos Lagos, participaram de uma reunião na terça-feira, 20.05.08, para a escolha da diretoria do Conselho Comunitário de Segurança (CCS) da localidade.O comandante do 25º Batalhão, Cel PM Adilson Oliveira do Nascimento e o Titular da 127ª DP, Dr. José Pedro Costa da Silva, numa demonstração de entendimento de democracia participativa, abriram mão do direito de indicação dos membros da 1ª Diretoria do CCS e colocaram em discussão a votação e indicação de todas as pessoas que participaram da reunião.Além das autoridades citadas, o evento contou com a participação do Comandante da 5ª Cia do 25º BPM, Ten PM Leonardo Heitor Alcântara Cunha, de integrantes da Guarda Municipal, representantes do poder legislativo municipal e de associações de moradores.O gerente dos Conselhos Comunitários, Dr. Marcus Veloso, afirmou que a escolha da diretoria do CCS será um novo passo para que a dinâmica da gestão da segurança pública seja melhor compreendida, já que a discussão sobre o tema é de interesse comum de todos. A mobilização da sociedade também foi pauta do discurso do Comandante do Batalhão local, que salientou a necessidade do diálogo sobre a segurança da região, para que as ações do poder público sejam baseadas sempre nas demandas da sociedade.Além do processo de escolha dos novos diretores do Conselho Comunitário de Segurança de Búzios, a comunidade contou com outra grande vitória: a disponibilização de verbas, através da Prefeitura, para reformas das instalações da 5ª Cia e do DPO da Praia Rasa.Um novo encontro entre a Comitiva dos CCS e representantes da localidade foi agendado para o dia 03 de junho, às 18:00 horas, quando a Diretoria do CCS de Búzios será apresentada à comunidade e a imprensa local.
 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
Conselho Comunitário da 14ª AISP promove 1° Seminário da Zona Oeste,Renata Fortes e Débora Agualuza30/05/2008 17:27h,"




Foto: Débora Agualuza
Debatedores - 1º Seminário da Zona Oeste 
Com a intenção de expandir a discussão sobre segurança pública, diversos representantes de órgãos Estaduais e Municipais além de lideranças comunitárias, participaram hoje (30.05.08), do 1º Seminário da Zona Oeste, promovido pelo Conselho Comunitário de Segurança (CCS) da AISP 14.O evento ocorreu, durante todo o dia, no auditório da 9ª Brigada de Infantaria Motorizada do Exército Brasileiro com a presença do Tenente Coronel Raulino, que representou o Excelentíssimo Senhor General Cid, Comandante desta Unidade. O presidente do CCS local, Jorge Eduardo Mariano, abriu o evento ressaltando a importância da integração entre as instituições policiais e a sociedade. “Se cada um fizer a sua parte conseguiremos amenizar o problema da região e, em conseqüência, o do Estado também”, afirmou.O presidente do Instituto de Segurança Pública, Ten Cel PM Mário Sérgio de Brito Duarte, representou o Secretário de Estado de Segurança, José Mariano Beltrame. Ele reafirmou a posição do Estado quanto à Política de Desarmamento de criminosos. “Muitas vezes pessoas de bem acabam entrando em conflito; para essas, é que devemos utilizar a mediação de problemas. Para o narcotráfico, não há como virar as costas e não encarar a situação. Não é possível haver só discurso filosófico enquanto os bandidos agem; para isso o ISP cada vez mais se preocupa em implantar Conselhos Comunitários como forma de assegurar a participação democrática da sociedade integrando as demandas locais às ações policiais”.O Titular da 34ª delegacia de Bangu, Dr. Ronald Hurst, apontou que entre uma das principais estratégias de Segurança está o estudo da origem da criminalidade, para que assim seja estabelecida a participação social. Para ele os formadores de opiniões da comunidade devem disseminar a importância de exercer a cidadania, seja através da apresentação das demandas locais, de denúncias anônimas ou até mesmo através dos registros de ocorrência dos delitos.Já a Coordenadora da Divisão de Polícia de Atendimento à Mulher no Estado (DPAM) e também das Delegacias Especializadas de Atendimento à Mulher (DEAM’s), Delegada Inamara Costa, a Violência contra a Mulher é um problema social, de grande relevância no âmbito da segurança. A massificação de políticas de conscientização e combate deve ser estimulada sempre. Durante a apresentação a delegada relatou dados importantes no Estado do Rio de Janeiro:




Foto: Débora Agualuza
Apresentação da Delegada Inamara Costa “Em cada 5 mulheres 1 é vítima de violência e a cada 15 segundos 1 mulher é agredida, daí a necessidade que as vítimas registrem os casos de agressão para que medidas punitivas e preventivas possam ser tomadas”. Inamara ainda destacou a importância da divulgação do Dossiê Mulher, realizado pelo ISP, como um exemplo de projeto bem sucedido voltado a este segmento, que comprovou que o número de subnotificações vem diminuindo à medida que as mulheres denunciam e registram as agressões seja fisicamente, psicologicamente, sexualmente, moralmente ou patrimonialmente. Cerca de 150 pessoas estiveram presentes no evento e debateram com os palestrantes sobre os temas suscitados. A população pôde esclarecer dúvidas e propor sugestões que vão contribuir para o aprimoramento de políticas públicas. Ao final do encontro foram destacadas as principais demandas das regiões que servirão de base na elaboração de um documento específico voltado para a área da Aisp 14 (Bangu, Gericinó, Padre Miguel, Senador Câmara, Campo dos Afonsos, Deodoro, Jardim Sulacap, Magalhães Bastos, Realengo, Vila Militar, Anchieta, Guadalupe, Parque Anchieta e Ricardo de Albuquerque). Este relatório será posteriormente apresentado à cúpula de Segurança Pública do Estado, durante o Fórum Permanente.
 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
ISP apresenta Dossiê Mulher ao Comitê de Gênero e Município da Prefeitura do Rio de Janeiro,Renata Fortes e Carolina Boechat03/06/2008 15:06h,"




Foto: Divulgação/ISP
Alguns participantes da apresentação do Dossiê Mulher
O Dossiê Mulher foi apresentado mais uma vez durante reunião com o Comitê de Gênero e Município, na terça-feira, 03.06.08. O convite foi feito pela direção do Projeto Rio Mulher, que é responsável pela gestão das ações da Prefeitura do Rio de Janeiro, atendendo mulheres vítimas de violência. 
O evento, que aconteceu no Centro de Artes Calouste Gulbenkian, discutiu formas de articulação entre as diferentes secretarias e órgãos municipais, incorporando a perspectiva de integração às políticas públicas do município. 




Foto: Divulgação/ISP
A socióloga Andréia Soares debatendo os dados do Dossiê Mulher 
A socióloga Andréa Soares, pesquisadora do Instituto de Segurança Pública (ISP), expôs os cinco títulos mais freqüentes e que melhor ilustram os tipos de violência cometidos contra as mulheres: estupro, atentado violento ao pudor, ameaça, lesão corporal dolosa e homicídio doloso. Após a palestra, os convidados puderam debater o tema, esclarecendo dúvidas, dando sugestões e opiniões a respeito da pauta abordada. 
A apresentação do Dossiê Mulher produzida pelo ISP foi direcionada aos Gestores Municipais, já que o Comitê participante é composto por representantes das principais Secretarias da Prefeitura, como Educação, Saúde, Esporte e Lazer, Assistência Social, entre outras. A idéia é que os profissionais destas áreas possam divulgar os dados sobre este tipo de violência, com o intuito de informar e esclarecer a população, atingindo cada vez mais pessoas. 
Desta forma, o Instituto de Segurança Pública pretende aumentar a visibilidade sobre esta questão, alertando a importância da implementação de políticas públicas que busquem promover e aprimorar o exercício da cidadania.
 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
Conselho Comunitário de Segurança de Araruama promove o 1º Fórum de Segurança Pública da Região dos Lagos,"Renata Fortes, Carolina Boechat e Débora Agualuza09/06/2008 17:31h","




Foto: Débora Agualuza/ISP
Autoridades compõem a Mesa de Honra no 1º Fórum de Segurança de Araruama 
O Conselho Comunitário de Segurança de Araruama, Município pertencente à  AISP 25 (que abrange as regiões de Araruama, Saquarema, São Pedro D’aldeia, Arraial do Cabo, Cabo Frio, Armação dos Búzios e Iguaba Grande) realizou, na última sexta-feira (06.06.08) o 1º Fórum de Segurança Pública da Região dos Lagos. A partir do tema “Solução? Só com União”, as autoridades e a sociedade civil puderam aprofundar o debate acerca deste assunto. 
O evento aconteceu no Teatro Municipal de Araruama e contou com a presença da Cúpula da Secretaria de Estado de Segurança. Estiveram presentes: o Secretário de Estado de Segurança, José Mariano Beltrame; o Comandante Geral da Polícia Militar, Cel PM Gilson Pitta Lopes; o Presidente do Instituto de Segurança Pública, Ten Cel PM Mário Sérgio de Brito Duarte; o Chefe da Polícia Civil, Dr.Gilberto Ribeiro; o Comandante do 25º BPM, Cel PM Adilson Oliveira do Nascimento, responsável pela gestão de toda AISP 25; o Delegado Titular do Município, Júlio César Mulatinho Neto; a Presidente do Conselho Comunitário de Araruama, Sueli de Souza Lima, que representou outros membros dos Conselhos, e mais 200 pessoas que participaram da reunião. 




Foto: Débora Agualuza/ISP
Presidente do ISP Ten Cel PM Mário Sérgio Duarte entregando o certificado à presidente do CCS de Araruama 
O Secretário de Estado de Segurança, José Mariano Beltrame, começou a reunião fazendo a homologação dos Conselhos Comunitários dos Municípios de Búzios, Saquarema e Arraial do Cabo. Logo depois, o Comandante Geral da Polícia Militar, Cel PM Gilson Pitta Lopes, fez uma análise sobre a conjuntura da segurança na região. 
Cel Pitta frisou que, embora haja falta de efetivo, os 760 Policiais Militares da área atuam com muita competência e compromisso social. De acordo com o anexo IV do Edital do Concurso para PM, 50 vagas serão destinadas para o local, reforçando o policiamento. A partir do tema “Estrutura e Organização Estratégica da PM na Região dos Lagos”, Gilson Pitta defendeu as ações de combate ao crime organizado, alegando que, sendo conduzidas com planejamento, tornam-se eficientes e necessárias. Ele afirmou que as Organizações Policiais não vão compactuar com ações criminosas e pediu à população que confie nas instituições. “Acreditem nas polícias que o Estado tem”.
A apresentação de dados técnicos e análises apurativas foram abordadas pelo Comandante do 25º BPM, Cel PM Adilson Oliveira do Nascimento, responsável pela supervisão de todos os municípios da AISP 25. Ele apontou os números da PM de cada cidade da Região, mostrando o desempenho do efetivo da Instituição. De acordo com o Comandante, “é preciso reforçar a política de prevenção, principalmente no verão, para que a segurança não tenha índices preocupantes”. 




Foto: Débora Agualuza/ISP
Autoridades e participantes no evento 
Os avanços alcançados através do projeto Delegacia Legal foram expostos pelo Chefe de Policia Civil, Dr. Gilberto Ribeiro. Ele destacou que o investimento na revitalização das Delegacias, informatizando-as e capacitando os profissionais em cursos preparatórios, contribuiu para melhorar o atendimento à população. “Não há no mundo delegacias que se comparem com as (Legais) do Brasil”, disse. 
Já o Presidente do ISP, Ten Cel PM Mário Sérgio de Brito Duarte, apresentou os projetos do Instituto, ressaltando a importância da atuação dos Conselhos Comunitários para o Estado. “Expandir os canais de comunicação entre a polícia e a comunidade é imprescindível para a melhoria da segurança pública”. Atualmente são 63 Conselhos no Estado e 6 só na Região dos Lagos.
O Secretário José Mariano Beltrame encerrou a exposição sobre o tema voltando a enfatizar que a questão da segurança pública não depende apenas das Forças Policiais: precisa ser discutida e receber a participação de todos. Sob o tema “A ação do Estado na Região dos Lagos”, Beltrame traçou o panorama de ações públicas voltadas para a segurança que foi construído ao longo de décadas. “O problema do Rio de Janeiro é ancestral, secular. Hoje é que se está levantando o tapete e mostrando o que, há anos estava acontecendo e não era exposto. Como enxergar o futuro se não conseguimos alcançar o presente?”. 




Foto: Débora Agualuza/ISP
Secretário de Estado de Segurança, José Mariano Beltrame, discursando no Fórum 
Com base na real situação do Estado, o Secretário aposta em uma logística mais aperfeiçoada para as polícias e na total implantação das Delegacias Legais, que são prioridades. Dentre os projetos inovadores, está a criação da Cidade das Polícias, que reunirá num só lugar, todas as delegacias especializadas do Rio. A idéia é otimizar os recursos e o uso de equipamentos.
Após a exposição dos temas, os participantes puderam interagir com as autoridades, esclarecendo dúvidas e propondo idéias. Ao final do evento, os convidados receberam o certificado de participação do Fórum.
 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
Pesquisa do primeiro trimestre de 2008 apresenta queda em 15 tipos de crimes no Rio de Janeiro,"Renata Fortes, Carolina Boechat e Débora Agualuza10/06/2008 14:53h","
O Instituto de Segurança Pública (ISP) divulga o balanço total dos índices de criminalidade referentes ao primeiro trimestre de 2008. 
A equipe do ISP, através do Núcleo de Pesquisa em Justiça Criminal e Segurança Pública – NUPESP, concluiu a análise dos crimes. Dos 39 itens publicados no Diário Oficial, 6 são atividades policiais; logo, o levantamento corresponde a 33 delitos analisados. Deste total, 15 tipos de ocorrências apresentaram queda, 16 sofreram aumento, e outras 2 mantiveram a mesma incidência se comparados à pesquisa do primeiro trimestre de 2007.
Os delitos que merecem atenção em razão da maior ou menor incidência são: 

Homicídio Doloso: 1.565 ocorrências no primeiro trimestre de 2008 e 1.652 casos no primeiro trimestre de 2007. Este delito apresentou queda de 5,3% (menos 87 vítimas) em relação ao mesmo período do ano passado. Em comparação a março de 2007, houve redução de 18,4% (menos 118 vítimas). 
Lesão Corporal Dolosa: 18.817 ocorrências no primeiro trimestre de 2008 e 19.542 casos no primeiro trimestre de 2007. Este delito apresentou queda de 3,7% (menos 725 vítimas) em relação ao mesmo período do ano passado. Em comparação a março de 2007, houve redução de 8,2% (menos 585 vítimas).
Roubo de Veículos: 7.359 ocorrências no primeiro trimestre de 2008 e 8.856 casos no primeiro trimestre de 2007. Este delito apresentou queda de 16,9% (menos 1.497 ocorrências) em relação ao mesmo período do ano passado. Em comparação a março de 2007, houve redução de 28,3% (menos 958 ocorrências).
Furto de Veículos: 5.391 ocorrências no primeiro trimestre de 2008 e 5.737 casos no primeiro trimestre de 2007. Este delito apresentou queda de 6,0% (menos 346 ocorrências) em relação ao mesmo período do ano passado. Em comparação a março de 2007, houve redução de 4,7% (menos 90 ocorrências).
Estupro: 334 ocorrências no primeiro trimestre de 2008 e 358 casos no primeiro trimestre de 2007. Este delito apresentou queda de 6,7% (menos 24 vítimas) em relação ao mesmo período do ano passado. Em comparação a março de 2007, houve aumento de 1,5% (mais 2 vítimas).
Roubo a Banco: 8 ocorrências no primeiro trimestre de 2008 e 8 casos no primeiro trimestre de 2007. Este delito não apresentou alteração em relação ao mesmo período do ano passado. Em comparação a março de 2007, houve redução (menos 2 vítimas).
Latrocínio (Roubo seguido de morte): 52 ocorrências no primeiro trimestre de 2008 e 40 casos no primeiro trimestre de 2007. Este delito apresentou aumento de 30,0% (mais 12 vítimas) em relação ao mesmo período do ano passado. Em comparação a março de 2007, houve redução de 9,1% (menos 2 vítimas).
Homicídio Culposo no Trânsito: 647 ocorrências no primeiro trimestre de 2008 e 606 casos no primeiro trimestre de 2007. Este delito apresentou aumento de 6,8% (mais 41 vítimas) em relação ao mesmo período do ano passado. Em comparação a março de 2007, houve aumento de 10,3% (mais 24 vítimas).
Roubo a Transeunte: 16.492 ocorrências no primeiro trimestre de 2008 e 13.332 casos no primeiro trimestre de 2007. Este delito apresentou aumento de 23,7% (mais 3.160 vítimas) em relação ao mesmo período do ano passado. Em comparação a março de 2007, houve aumento de 10,2% (mais 497 vítimas).
Roubo de Aparelho Celular: 2.060 ocorrências no primeiro trimestre de 2008 e 1.834 casos no primeiro trimestre de 2007. Este delito apresentou aumento de 12,3% (mais 226 vítimas) em relação ao mesmo período do ano passado. Em comparação a março de 2007, houve aumento de 0,9% (mais 6 vítimas).
Auto de Resistência: 358 ocorrências no primeiro trimestre de 2008 e 318 casos no primeiro trimestre de 2007. Este delito apresentou aumento de 12,6% (mais 40 vítimas) em relação ao mesmo período do ano passado. Em comparação a março de 2007, houve aumento de 26,1% (mais 29 vítimas).
Para mais informações clique aqui. 
 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
Sistema de Integração e Análise de Dados (SIAD) é apresentado no Município de São Gonçalo,"Renata Fortes, Carolina Boechat e Débora Agualuza11/06/2008 15:43h","




Foto: Divulgação/ISP
Palestra de apresentação do SIAD 
O Instituto de Segurança Pública (ISP) apresentou, na manhã desta quarta-feira (11.06.08), o software, denominado Sistema de Integração e Análise de Dados (SIAD) a representantes de órgãos federais, estaduais e do município de São Gonçalo durante a cerimônia de implantação do Gabinete de Gestão Integrada (GGIM). O projeto foi desenvolvido em parceria do ISP com a União Européia e uma empresa de Informática. Ele possibilitará a integração entre banco de dados das PCERJ, PMERJ e Guardas Municipais, o que vai permitir uma melhor análise e divulgação das informações coletadas pelas Corporações. 
O evento ocorreu no Auditório do Sest /Senat, em São Gonçalo, em virtude do projeto-piloto ser implementado primeiramente naquele Município. A Região foi escolhida por agrupar características integradas entre o Batalhão, a Polícia Cívil, e as 5 delegacias (72ª,73ª,74ª,75ª DP e a DEAM local) que atuam na mesma área geográfica do município,  além da Guarda Municipal.




Foto: Divulgação/ISP
Autoridades compõem a Mesa de Honra do evento 
Apesar da excelente qualidade do sistema de produção, análise e publicidade das informações estatísticas relativas à segurança pública no Estado do Rio de Janeiro, a base utilizada em todos os estudos tem sido, quase que exclusivamente, oriundas dos registros de ocorrências efetuados nas Delegacias Policiais. Desta forma, um vasto campo de informações relativo às ocorrências atendidas pela Polícia Militar e pelas Guardas Municipais fica de lado, e muitas vezes não se converge em registros feitos em delegacias.
O SIAD visa construir sistemas necessários à otimização dos processos de consolidação, cruzamento e análise estatística de dados produzidos pelas Polícias Civil, Militar e Guarda Municipal, baseados nos registros e talões de ocorrências, além dos registros de atendimentos.   
Quando estiver em pleno funcionamento, o SIAD permitirá, por exemplo, que o comandante da Guarda Municipal tenha acesso a dados previamente autorizados por cada instituição. Sendo assim, em cada momento que houver acesso, haverá um registro capaz de identificar o usuário e o relatório que está sendo produzido.
Essa integração entre os bancos de dados otimizará o armazenamento de informações, facilitando a apuração e compilação de dados pelas corporações, e posterior repasse destas ao ISP, além de agilizar o atendimento aos cidadãos.  




Foto: Divulgação/ISP
Representantes de diversos órgãos públicos participam da solenidade 
O SIAD é necessário para criar um banco de coletas, armazenamento e tratamento de dados das atividades policiais ligadas à área de ensino, pesquisa e planejamento das corporações. Tem como objetivo viabilizar o tratamento de informações embasadas em estatísticas, capazes de subsidiar políticas públicas. O software é de simples execução e representará um grande avanço para a Segurança Pública. A manutenção do sistema será feita por policiais que se especializarão freqüentando cursos de médio e longo prazo.
Caso haja êxito na implementação, o projeto poderá ser expandido para outros municípios do Estado do Rio de Janeiro. Vale ressaltar que a verba para o SIAD foi financiada pela União Européia, que transferiu recursos à Secretaria Especial de Direitos Humanos, e sucessivamente o órgão federal fez o repasse para o Estado. 
 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
Viva Rio divulga edital do workshop “Liderança para o Desenvolvimento Institucional Policial: Práticas e Saberes Policiais”,Renata Fortes13/06/2008 11:27h,"





A ONG Viva Rio está divulgando o edital de seleção para o workshop “Liderança para o Desenvolvimento Institucional Policial: Práticas e Saberes Policiais”, que será realizado nos dias 17 e 19 de setembro, na sede da organização, no Rio de Janeiro.
De acordo com o Viva Rio o objetivo é promover a troca de experiências entre policiais civis e militares a partir de “estudo de casos”, apresentados pelos próprios alunos sobre processos de mudanças e modernização das polícias no Brasil.
A iniciativa é da Rede Brasileira de Policiais e Sociedade Civil (RPS), coordenada pelo Viva Rio com o apoio de diversos parceiros nacionais e internacionais.  
A metodologia a ser aplicada visa incentivar o diálogo entre os participantes, sobre práticas inovadoras nos temas: policiamento ostensivo e prevenção de delito e; investigação policial e perícia criminal.
Os interessados devem se candidatar até o dia 20 de junho. O Workshop terá carga horária total de 20h e ao final serão emitidos certificados de conclusa para aqueles que participaram, no mínimo, de 75% das atividades. As despesas com alimentação e material didático serão custeados pela organização.
As inscrições somente serão aceitas pela internet, através da ficha de inscrição disponível nos sites da Rede de Policiais e Sociedade Civil (http://policiaesociedade.comunidadesegura.org) e do Fórum Brasileiro de Segurança Pública (www.forumseguranca.org.br). Os candidatos serão selecionados por análise dos currículos e dos resumos dos “estudos de caso” propostos durante a inscrição.  
 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
